"id","mssubclass","lotshape","landcontour","landslope","bldgtype","housestyle","overallqual","overallcond","lotfrontage","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","moderately_irregular","slightly_irregular","regular","irregular","depression","hillside","banked","near_flat_level","gentle_slope","moderate_slope","severe_slope","ordinal_encoded_overallqual","ordinal_encoded_overallcond","mean_encoded_mssubclass","mean_encoded_bldgtype","mean_encoded_housestyle","norm_lotfrontage","norm_lotarea","norm_garagearea","norm_grlivarea","norm_totalbsmtsf","norm_saleprice","std_lotfrontage","std_lotarea","std_garagearea","std_grlivarea","std_totalbsmtsf","std_saleprice"
1,"2-STORY 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Average","65","8450","548","1710","856","208500",0,0,1,0,0,0,0,1,1,0,0,7,4,"239948.501672240803","185763.807377049180","210051.764044943820","-0.01729437797269398801","-0.00966055800412153123","0.05290540409992851206","0.03664964230781141931","-0.03296717709571105082","0.03829857535007504652","-0.20794770376581747652","-0.20707075668205198209","0.35088009468698892917","0.37020659097219019114","-0.45914521849712178969","0.34715427018008581100"
2,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Very Good","80","9600","460","1262","1262","181500",0,0,1,0,0,0,0,1,1,0,0,5,8,"185224.811567164179","185763.807377049180","175985.477961432507","0.03407548504100464212","-0.00428534474837823272","-0.00915383426396429471","-0.04775126198759174572","0.03348126807613837635","0.00080378296012920567","0.40972383511978875795","-0.09185489899357319404","-0.06071021076074032648","-0.48234664247401015256","0.46630514046588545687","0.00728582419466672483"
3,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Average","68","11250","608","1786","920","223500",0,1,0,0,0,0,0,1,1,0,0,7,4,"239948.501672240803","185763.807377049180","210051.764044943820","-0.00702040536995426199","0.00342691774899258688","0.09521852116621906213","0.05096765285792445624","-0.02249254534448355491","0.05912901556671162477","-0.08441339598869622963","0.07345480986380941490","0.63150984840134978530","0.51483615736038489230","-0.31326141806945562274","0.53597007350531863665"
4,"2-STORY 1945 & OLDER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Average","60","9550","642","1717","756","140000",0,1,0,0,0,0,0,1,1,0,0,7,4,"166772.416666666667","185763.807377049180","210051.764044943820","-0.03441766564392686473","-0.00451904967254098483","0.11919595417045037384","0.03796840643742709376","-0.04933378920700401318","-0.05682710163923199417","-0.41383821672768622135","-0.09686428411046357613","0.79053337550615427044","0.38352773524478707151","-0.68708865666535017554","-0.51510456500514409280"
5,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Very Good","Average","84","14260","836","2198","1145","250000",0,1,0,0,0,0,0,1,1,0,0,8,4,"239948.501672240803","185763.807377049180","210051.764044943820","0.04777411517799094349","0.01749595418359026385","0.25600836601812315240","0.12858634162958986694","0.01433233190592561039","0.09592945994943624635","0.57443624548928375381","0.37501979390061041665","1.6979029125159210","1.2988806488332299","0.19961131780905824543","0.86954465937989662863"
6,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average","85","14115","480","1362","796","143000",0,1,0,0,0,0,0,1,1,0,0,4,4,"143302.972222222222","185763.807377049180","143116.740259740260","0.05119877271223751884","0.01681820990351828274","0.00495053809146588865","-0.02891177442165353924","-0.04278714436248682823","-0.05266101359590467852","0.61561434808165750278","0.36049257706162830860","0.03283304047737995890","-0.29204458143691186155","-0.59591128139805882120","-0.47734140434009752767"
7,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average","75","10084","636","1694","1686","307000",0,0,1,0,0,0,0,1,1,0,0,8,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.01695219736977176541","-0.00202308108248279231","0.11496464246382131883","0.03363532429726130627","0.10287570342802053674","0.17508513277265524372","0.20383332215792001313","-0.04336405106207429542","0.76247040013471818483","0.33975826120625446458","1.4327853182991738","1.5870447120157814"
8,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Above Average","NA","10382","484","2090","1107","200000",0,1,0,0,0,0,0,1,1,0,0,7,5,"239948.501672240803","185763.807377049180","210051.764044943820",NULL,"-0.00063019973447278974","0.00777141256255192532","0.10823969505837660394","0.00811301930363428470","0.02649465922731431884",NULL,"-0.01350811576540761817","0.05154169072500401597","1.0933544229131637","0.11299281130513145880","0.24015864829578720980"
9,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Good","Average","51","6120","468","1774","952","129900",0,0,1,0,0,0,0,1,1,0,0,7,4,"143302.972222222222","185763.807377049180","143116.740259740260","-0.06523958345214604281","-0.02055120747010577952","-0.00351208532179222137","0.04870691435001187146","-0.01725522946886980696","-0.07085293138510062352","-0.78444114005904996203","-0.44050810312914378743","-0.02329291026549221233","0.49199991003593309738","-0.24031951785562253927","-0.64224053924413419541"
10,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular","Near Flat/Level","Gentle slope","Two-family Conversion; originally built as one-family dwelling","One and one-half story: 2nd level unfinished","Average","Above Average","50","7420","205","1077","991","118000",0,0,1,0,0,0,0,1,1,0,0,4,5,"129613.333333333333","128432.258064516129","110150.000000000000","-0.06866424098639261815","-0.01447487944187422468","-0.18898458179569913251","-0.08260431398457742771","-0.01087225074546555164","-0.08737841395696564227","-0.82561924265142371100","-0.31026409008999385312","-1.2533866640467740","-0.83440545539264199091","-0.15142157697001346879","-0.79203440988215223709"
